trading_date,RU_total_oi
2017-12-27,447576.0
2017-12-28,444094.0
2017-12-29,436852.0
2018-01-02,439906.0
2018-01-03,447266.0
2018-01-04,478046.0
2018-01-05,478978.0
2018-01-08,487082.0
2018-01-09,486700.0
2018-01-10,485902.0
2018-01-11,476356.0
2018-01-12,480658.0
2018-01-15,487822.0
2018-01-16,475476.0
2018-01-17,478320.0
2018-01-18,488586.0
2018-01-19,514296.0
2018-01-22,525538.0
2018-01-23,590646.0
2018-01-24,588164.0
2018-01-25,593618.0
2018-01-26,592440.0
2018-01-29,589556.0
2018-01-30,622000.0
2018-01-31,627330.0
2018-02-01,633880.0
2018-02-02,632706.0
2018-02-05,623652.0
2018-02-06,637784.0
2018-02-07,624714.0
2018-02-08,628160.0
2018-02-09,602018.0
2018-02-12,594082.0
2018-02-13,586848.0
2018-02-14,569490.0
2018-02-22,582208.0
2018-02-23,575310.0
2018-02-26,571030.0
2018-02-27,564764.0
2018-02-28,563754.0
2018-03-01,565120.0
2018-03-02,565138.0
2018-03-05,571506.0
2018-03-06,572912.0
2018-03-07,583410.0
2018-03-08,578698.0
2018-03-09,590866.0
2018-03-12,589964.0
2018-03-13,598054.0
2018-03-14,592122.0
2018-03-15,600148.0
2018-03-16,639612.0
2018-03-19,640774.0
2018-03-20,660390.0
2018-03-21,668870.0
2018-03-22,679112.0
2018-03-23,660996.0
2018-03-26,633506.0
2018-03-27,627480.0
2018-03-28,617792.0
2018-03-29,617104.0
2018-03-30,615340.0
2018-04-02,613472.0
2018-04-03,621528.0
2018-04-04,625502.0
2018-04-09,630326.0
2018-04-10,627232.0
2018-04-11,634192.0
2018-04-12,635128.0
2018-04-13,639812.0
2018-04-16,687582.0
2018-04-17,685272.0
2018-04-18,676308.0
2018-04-19,652842.0
2018-04-20,651900.0
2018-04-23,655350.0
2018-04-24,651730.0
2018-04-25,650244.0
2018-04-26,654758.0
2018-04-27,651872.0
2018-05-02,638254.0
2018-05-03,642554.0
2018-05-04,643038.0
2018-05-07,648378.0
2018-05-08,647160.0
2018-05-09,642236.0
2018-05-10,642440.0
2018-05-11,648698.0
2018-05-14,655920.0
2018-05-15,669110.0
2018-05-16,645710.0
2018-05-17,642224.0
2018-05-18,641920.0
2018-05-21,678906.0
2018-05-22,682022.0
2018-05-23,667712.0
2018-05-24,664334.0
2018-05-25,662334.0
2018-05-28,655558.0
2018-05-29,671464.0
2018-05-30,676110.0
2018-05-31,674708.0
2018-06-01,676756.0
2018-06-04,676092.0
2018-06-05,682482.0
2018-06-06,679690.0
2018-06-07,673750.0
2018-06-08,709050.0
2018-06-11,706572.0
2018-06-12,705472.0
2018-06-13,709390.0
2018-06-14,691094.0
2018-06-15,670498.0
2018-06-19,639360.0
2018-06-20,621700.0
2018-06-21,619310.0
2018-06-22,604830.0
2018-06-25,605950.0
2018-06-26,598002.0
2018-06-27,593640.0
2018-06-28,594798.0
2018-06-29,582832.0
2018-07-02,596768.0
2018-07-03,582442.0
2018-07-04,597546.0
2018-07-05,596604.0
2018-07-06,593870.0
2018-07-09,591980.0
2018-07-10,604618.0
2018-07-11,602214.0
2018-07-12,600330.0
2018-07-13,607876.0
2018-07-16,616288.0
2018-07-17,604748.0
2018-07-18,595810.0
2018-07-19,620196.0
2018-07-20,618776.0
2018-07-23,657374.0
2018-07-24,670502.0
2018-07-25,622168.0
2018-07-26,613722.0
2018-07-27,618306.0
2018-07-30,606764.0
2018-07-31,597118.0
