trading_date,ZC_total_oi
2019-11-29,522186.0
2019-12-02,515836.0
2019-12-03,519300.0
2019-12-04,508064.0
2019-12-05,513494.0
2019-12-06,497716.0
2019-12-09,504208.0
2019-12-10,496876.0
2019-12-11,510974.0
2019-12-12,527012.0
2019-12-13,513148.0
2019-12-16,490800.0
2019-12-17,475788.0
2019-12-18,473416.0
2019-12-19,471632.0
2019-12-20,486708.0
2019-12-23,502000.0
2019-12-24,505248.0
2019-12-25,489628.0
2019-12-26,478740.0
2019-12-27,471800.0
2019-12-30,474006.0
2019-12-31,458208.0
2020-01-02,230332.0
2020-01-03,215674.0
2020-01-06,213752.0
2020-01-07,215326.0
2020-01-08,220150.0
2020-01-09,215952.0
2020-01-10,212095.0
2020-01-13,205260.0
2020-01-14,205609.0
2020-01-15,192129.0
2020-01-16,188602.0
2020-01-17,182118.0
2020-01-20,181277.0
2020-01-21,174340.0
2020-01-22,166393.0
2020-01-23,155702.0
2020-02-03,133456.0
2020-02-04,143335.0
2020-02-05,158412.0
2020-02-06,164658.0
2020-02-07,170552.0
2020-02-10,173400.0
2020-02-11,178844.0
2020-02-12,181359.0
2020-02-13,179702.0
2020-02-14,178650.0
2020-02-17,173897.0
2020-02-18,172501.0
2020-02-19,165214.0
2020-02-20,160211.0
2020-02-21,163714.0
