trading_date,V_total_oi
2018-06-04,313442.0
2018-06-05,355406.0
2018-06-06,356460.0
2018-06-07,371594.0
2018-06-08,401500.0
2018-06-11,402104.0
2018-06-12,399424.0
2018-06-13,363658.0
2018-06-14,358426.0
2018-06-15,336822.0
2018-06-19,329490.0
2018-06-20,333038.0
2018-06-21,342484.0
2018-06-22,345768.0
2018-06-25,350696.0
2018-06-26,346920.0
2018-06-27,345014.0
2018-06-28,344408.0
2018-06-29,343448.0
2018-07-02,338010.0
2018-07-03,341048.0
2018-07-04,318202.0
2018-07-05,298308.0
2018-07-06,304572.0
2018-07-09,303132.0
2018-07-10,291698.0
2018-07-11,321750.0
2018-07-12,344290.0
2018-07-13,354812.0
2018-07-16,319312.0
2018-07-17,308092.0
2018-07-18,303594.0
2018-07-19,286100.0
2018-07-20,299380.0
2018-07-23,297006.0
2018-07-24,302912.0
2018-07-25,291058.0
2018-07-26,273252.0
2018-07-27,272732.0
2018-07-30,291484.0
2018-07-31,288578.0
