trading_date,JD_total_oi
2018-06-04,221330.0
2018-06-05,214470.0
2018-06-06,217554.0
2018-06-07,228452.0
2018-06-08,221096.0
2018-06-11,218626.0
2018-06-12,217548.0
2018-06-13,215482.0
2018-06-14,210412.0
2018-06-15,204244.0
2018-06-19,193178.0
2018-06-20,219548.0
2018-06-21,205056.0
2018-06-22,196784.0
2018-06-25,212434.0
2018-06-26,203276.0
2018-06-27,205242.0
2018-06-28,197854.0
2018-06-29,205956.0
2018-07-02,198400.0
2018-07-03,194662.0
2018-07-04,199678.0
2018-07-05,195796.0
2018-07-06,200402.0
2018-07-09,204112.0
2018-07-10,204986.0
2018-07-11,212980.0
2018-07-12,212312.0
2018-07-13,214048.0
2018-07-16,217318.0
2018-07-17,220316.0
2018-07-18,216894.0
2018-07-19,222576.0
2018-07-20,218498.0
2018-07-23,228774.0
2018-07-24,231052.0
2018-07-25,229948.0
2018-07-26,221220.0
2018-07-27,222972.0
2018-07-30,227002.0
2018-07-31,221412.0
2018-08-01,228022.0
2018-08-02,223386.0
2018-08-03,210126.0
