trading_date,I_total_oi
2017-02-03,1147508.0
2017-02-06,1223278.0
2017-02-07,1269746.0
2017-02-08,1343154.0
2017-02-09,1376302.0
2017-02-10,1603000.0
2017-02-13,1546580.0
2017-02-14,1559374.0
2017-02-15,1583034.0
2017-02-16,1600202.0
2017-02-17,1520036.0
2017-02-20,1618036.0
2017-02-21,1586552.0
2017-02-22,1583550.0
2017-02-23,1594042.0
2017-02-24,1539174.0
2017-02-27,1572016.0
2017-02-28,1637816.0
2017-03-01,1597826.0
2017-03-02,1642278.0
2017-03-03,1698338.0
2017-03-06,1842972.0
2017-03-07,1773860.0
2017-03-08,1819494.0
2017-03-09,1772764.0
2017-03-10,1732464.0
2017-03-13,1822752.0
2017-03-14,1686134.0
2017-03-15,1798128.0
2017-03-16,1743908.0
2017-03-17,1703348.0
2017-03-20,1630894.0
2017-03-21,1661928.0
2017-03-22,1699794.0
2017-03-23,1628956.0
2017-03-24,1763472.0
2017-03-27,1812238.0
2017-03-28,1853238.0
2017-03-29,1842156.0
2017-03-30,1853660.0
2017-03-31,1857436.0
2017-04-05,1912830.0
2017-04-06,2002622.0
2017-04-07,2116318.0
2017-04-10,2114164.0
2017-04-11,2119998.0
2017-04-12,2140304.0
2017-04-13,2122998.0
2017-04-14,2108406.0
2017-04-17,2223284.0
2017-04-18,2177692.0
2017-04-19,2116062.0
2017-04-20,2188598.0
2017-04-21,2060604.0
2017-04-24,2112242.0
2017-04-25,2163252.0
2017-04-26,2226784.0
2017-04-27,2126184.0
2017-04-28,2218198.0
2017-05-02,2114812.0
2017-05-03,2181346.0
2017-05-04,2051608.0
2017-05-05,2125590.0
2017-05-08,2304138.0
2017-05-09,2247608.0
2017-05-10,2263112.0
2017-05-11,2378680.0
2017-05-12,2393100.0
2017-05-15,2279488.0
2017-05-16,2252040.0
2017-05-17,2399090.0
2017-05-18,2287204.0
2017-05-19,2450212.0
2017-05-22,2275766.0
2017-05-23,2274928.0
2017-05-24,2379006.0
2017-05-25,2421372.0
2017-05-26,2193046.0
2017-05-31,2394728.0
2017-06-01,2403198.0
2017-06-02,2531260.0
2017-06-05,2466154.0
2017-06-06,2519424.0
2017-06-07,2429920.0
2017-06-08,2679166.0
2017-06-09,2538214.0
2017-06-12,2577272.0
2017-06-13,2577946.0
2017-06-14,2671782.0
2017-06-15,2625554.0
2017-06-16,2583748.0
2017-06-19,2536990.0
2017-06-20,2389248.0
2017-06-21,2471292.0
2017-06-22,2363694.0
2017-06-23,2390270.0
2017-06-26,2332886.0
2017-06-27,2685540.0
2017-06-28,2578518.0
2017-06-29,2526140.0
2017-06-30,2402244.0
2017-07-03,2513600.0
2017-07-04,2352344.0
2017-07-05,2333856.0
2017-07-06,2306850.0
2017-07-07,2446630.0
2017-07-10,2337218.0
2017-07-11,2387710.0
2017-07-12,2317240.0
2017-07-13,2321106.0
2017-07-14,2301052.0
2017-07-17,2321984.0
2017-07-18,2480336.0
2017-07-19,2265518.0
2017-07-20,2161682.0
2017-07-21,2049494.0
2017-07-24,2044058.0
2017-07-25,2103794.0
2017-07-26,2067414.0
2017-07-27,2106526.0
2017-07-28,2126342.0
2017-07-31,2111610.0
2017-08-01,1928314.0
2017-08-02,1906424.0
2017-08-03,1963666.0
2017-08-04,1926612.0
2017-08-07,1970308.0
2017-08-08,1911686.0
2017-08-09,1884914.0
2017-08-10,1835684.0
2017-08-11,1747894.0
2017-08-14,1712222.0
2017-08-15,1704394.0
2017-08-16,1754430.0
2017-08-17,1751046.0
2017-08-18,1745594.0
2017-08-21,1957138.0
2017-08-22,1886434.0
2017-08-23,1843588.0
2017-08-24,1805050.0
2017-08-25,1753848.0
2017-08-28,1730712.0
2017-08-29,1684172.0
2017-08-30,1648854.0
2017-08-31,1708750.0
2017-09-01,1689100.0
2017-09-04,1664356.0
2017-09-05,1675496.0
2017-09-06,1810142.0
2017-09-07,1901608.0
2017-09-08,1836252.0
2017-09-11,1725704.0
2017-09-12,1796334.0
2017-09-13,1767586.0
2017-09-14,1980958.0
2017-09-15,1932056.0
2017-09-18,1979618.0
2017-09-19,1992466.0
2017-09-20,2054926.0
2017-09-21,2220032.0
2017-09-22,2158142.0
2017-09-25,2173622.0
2017-09-26,2194426.0
2017-09-27,2263620.0
2017-09-28,2225138.0
2017-09-29,2074000.0
2017-10-09,2234314.0
2017-10-10,2451148.0
2017-10-11,2456134.0
2017-10-12,2608584.0
2017-10-13,2574014.0
2017-10-16,2558366.0
2017-10-17,2633070.0
2017-10-18,2625722.0
2017-10-19,2735006.0
2017-10-20,2690972.0
2017-10-23,2679860.0
2017-10-24,2599244.0
2017-10-25,2650474.0
2017-10-26,2548726.0
2017-10-27,2780534.0
2017-10-30,2683708.0
2017-10-31,2683430.0
2017-11-01,2645438.0
2017-11-02,2714610.0
2017-11-03,2631732.0
2017-11-06,2689180.0
2017-11-07,2604734.0
2017-11-08,2602682.0
2017-11-09,2697854.0
2017-11-10,2590706.0
2017-11-13,2719182.0
2017-11-14,2579466.0
2017-11-15,2551562.0
2017-11-16,2422176.0
2017-11-17,2456724.0
2017-11-20,2433762.0
2017-11-21,2344716.0
2017-11-22,2438274.0
2017-11-23,2458668.0
2017-11-24,2313174.0
2017-11-27,2290114.0
2017-11-28,2125788.0
2017-11-29,2240826.0
2017-11-30,2262624.0
2017-12-01,2230204.0
2017-12-04,2256212.0
2017-12-05,2245710.0
2017-12-06,2166132.0
2017-12-07,1945530.0
2017-12-08,1939224.0
2017-12-11,2069440.0
2017-12-12,2028674.0
2017-12-13,2088652.0
2017-12-14,2061444.0
2017-12-15,2080048.0
2017-12-18,2215418.0
2017-12-19,2083716.0
2017-12-20,2086580.0
2017-12-21,2259748.0
2017-12-22,2247788.0
2017-12-25,2224678.0
2017-12-26,1971742.0
2017-12-27,2015276.0
2017-12-28,1958902.0
2017-12-29,2037326.0
2018-01-02,2087454.0
2018-01-03,2056584.0
2018-01-04,2145266.0
2018-01-05,2154998.0
2018-01-08,2294568.0
2018-01-09,2353716.0
2018-01-10,2377438.0
2018-01-11,2322138.0
2018-01-12,2253852.0
2018-01-15,2184476.0
2018-01-16,2203796.0
2018-01-17,2122042.0
2018-01-18,2097608.0
2018-01-19,2170722.0
2018-01-22,2018440.0
2018-01-23,2264422.0
2018-01-24,2105088.0
2018-01-25,2111806.0
2018-01-26,2142432.0
2018-01-29,2106648.0
2018-01-30,2068226.0
2018-01-31,2177776.0
2018-02-01,2115360.0
2018-02-02,2042726.0
2018-02-05,2084292.0
2018-02-06,1996110.0
2018-02-07,1896742.0
2018-02-08,1867896.0
2018-02-09,1932438.0
2018-02-12,1747998.0
2018-02-13,1721012.0
2018-02-14,1651558.0
2018-02-22,1689884.0
2018-02-23,1884526.0
2018-02-26,1849190.0
2018-02-27,1892474.0
2018-02-28,1846660.0
2018-03-01,1950454.0
2018-03-02,1904492.0
2018-03-05,2036876.0
2018-03-06,1950196.0
2018-03-07,2052126.0
2018-03-08,2107784.0
2018-03-09,2203796.0
2018-03-12,2234046.0
2018-03-13,2216650.0
2018-03-14,2236668.0
2018-03-15,2109338.0
2018-03-16,2173434.0
2018-03-19,2369912.0
2018-03-20,2342274.0
2018-03-21,2417126.0
2018-03-22,2383414.0
2018-03-23,2207320.0
2018-03-26,2224492.0
2018-03-27,2206636.0
2018-03-28,2402852.0
2018-03-29,2329998.0
2018-03-30,2276030.0
2018-04-02,2306270.0
2018-04-03,2315890.0
2018-04-04,2524840.0
2018-04-09,2568368.0
2018-04-10,2581222.0
2018-04-11,2457348.0
2018-04-12,2549058.0
2018-04-13,2478608.0
2018-04-16,2679170.0
2018-04-17,2595368.0
2018-04-18,2594824.0
2018-04-19,2479610.0
2018-04-20,2358648.0
2018-04-23,2279194.0
